3570119;5(4-2);7.5;3570100    # MAT119 CALCULUS WITH ANALYTIC GEOMETRY
3580105;4(3-2);6.5;           # PHY105 GENERAL PHYSICS I
3900101;0(2-0);1.0;           # CYG101 CYBERSECURITY ENGINEERING ORIENTATION
3550111;4(3-2);4.0;           # CNG111 INTRODUCTION TO COMPUTER SCIENCE AND PROGRAMMING
3600107;4(3-2);6.0;           # CHM107 GENERAL CHEMISTRY
3590101;4(4-0);6.0;           # ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I
3550100;0(0-2);1.0;           # CNG100 INTRODUCTION TO INFORMATION TECHNOLOGIES AND APPLICATIONS
3530100;0(1-0);2.0;           # BUS100 CAREER PLANNING
3570120;5(4-2);7.5;3570119    # MAT120 CALCULUS OF FUNCTIONS OF SEVERAL VARIABLES
3580106;4(3-2);6.5;           # PHY106 GENERAL PHYSICS II
3550140;4(3-2);4.0;           # CNG140 C PROGRAMMING
3570260;3(3-0);5.0;           # MAT260 BASIC LINEAR ALGEBRA
3590102;4(4-0);6.0;3590101    # ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II
3870101;0(0-0);2.0;           # OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I
3570219;4(4-0);7.0;3570120    # MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS
3560281;4(3-2);6.0;           # EEE281 ELECTRICAL CIRCUITS
3550213;4(3-2);6.0;3550140    # CNG213 DATA STRUCTURES
3550223;3(3-0);6.0;           # CNG223 DISCRETE COMPUTATIONAL STRUCTURES
3590211;3(3-0);4.0;3590101,3590102   # ENGL211 ACADEMIC ORAL PRESENTATION SKILLS
3610101;0(2-0);2.0;                  # TUR101 TURKISH I
3630221;3(3-0);5.0;3570120           # STAS221 STATISTICS FOR ENGINEERS I / PROBABILITY AND RANDOM VARIABLES
3900242;4(3-2);7.0;3550140           # CYG242 OBJECT ORIENTED SOFTWARE DEVELOPMENT
3550280;3(3-0);6.0;3550223,3550140   # CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES
3550232;4(3-2);7.0;           # CNG232 LOGIC DESIGN
3900202;3(3-0);5.0;           # CYG202 INTRODUCTION TO CYBER SECURITY
3610102;0(2-0);2.0;3610101    # TUR102 TURKISH II
3550315;3(3-0);6.0;3550140,3550213  # CNG315 ALGORITHMS
3550331;3(3-0);6.0;3550232          # CNG331 COMPUTER ORGANIZATION
3550351;3(3-0);6.0;           # CNG351 DATA MANAGEMENT AND FILE STRUCTURES
3520101;3(3-0);5.0;           # ECO101 MICROECONOMICS
3900302;3(3-0);6.0;           # CYG302 FUNDAMENTALS OF CRYPTOGRAPHY
3620201;0(2-0);2.0;           # HST201 PRINCIPLES OF KEMAL ATATÜRK I
3900300;0(0-0);2.0;           # CYG300 SUMMER PRACTICE I
3550336;4(3-2);5.5;           # CNG336 INTRODUCTION TO EMBEDDED SYSTEMS DEVELOPMENT / INTRODUCTION TO MICROPROCESSORS
3550334;3(3-0);5.5;3550232    # CNG334 INTRODUCTION TO OPERATING SYSTEMS
3550384;3(3-0);5.0;           # CNG384 SIGNALS AND SYSTEMS FOR COMPUTER ENGINEERS
3900303;3(3-0);5.0;           # CYG303 LEGAL, PROFESSIONAL AND ETHICAL ISSUES IN CYBER SYSTEMS
3900455;3(3-0);5.0;           # CYG455 NETWORK SECURITY
3620202;0(2-0);2.0;           # HST202 PRINCIPLES OF KEMAL ATATÜRK II
3560281;0(0-0);2.0;           # OCHS301 OCCUPATIONAL HEALTH AND SAFETY-II
3900491;3(2-2);7.0;           # CYG491 SENIOR PROJECT AND SEMINAR: DESIGN
3550435;3(3-0);6.0;           # CNG435 DATA COMMUNICATIONS AND NETWORKING
3900451;3(3-0);5.0;           # CYG451 DATABASE SECURITY
3900495;3(3-0);5.0;           # CYG495 CLOUD COMPUTING AND SECURITY
3900400;0(0-0);2.0;           # CYG400 SUMMER PRACTICE II
3900460;3(3-0);5.0;           # CYG460 SOFTWARE SECURITY
3900492;3(1-4);7.0;           # CYG492 SENIOR PROJECT AND SEMINAR II: IMPLEMENTATION
3900415;3(3-0);5.0;           # CYG415 MALWARE ANALYSIS
3900402;3(3-0);5.0;           # CYG 402 APPLIED CRYPTOGRAPHY
3530111;3(3-0);5.0;           # BUS111 FUNDAMENTALS OF BUSINESS
3900468;3(3-0);6.0;           # CYG468 SECURE PROGRAMMING
