3570119;5(4-2);7.5;3570100           # MAT119 CALCULUS WITH ANALYTIC GEOMETRY
3580105;4(3-2);6.5;           # PHY105 GENERAL PHYSICS I
3600107;4(3-2);6.0;           # CHM107 GENERAL CHEMISTRY
3590101;4(4-0);6.0;           # ENGL101 DEVELOPMENT OF READING AND WRITING SKILLS I
3550100;0(2-0);1.0;           # CNG101 COMPUTER ENGINEERING ORIENTATION
3890101;0(2-0);1.0;           # SNG101 INTRODUCTION TO SOFTWARE ENGINEERING & ORIENTATION
3550111;4(3-2);4.0;           # CNG111 INTRODUCTION TO COMPUTER ENG. CONCEPTS
3530100;0(1-0);2.0;           # BUS100 CAREER PLANNING
3570120;5(4-2);7.5;3570119,2360119,2360117           # MAT120 CALCULUS FOR FUNCTIONS OF SEVERAL VARIABLES
3580106;4(3-2);6.5;           # PHY106 GENERAL PHYSICS II
3570260;3(3-0);5.0;           # MAT260 BASIC LINEAR ALGEBRA
3590102;4(4-0);6.0;3590101,6390101           # ENGL102 DEVELOPMENT OF READING AND WRITING SKILLS II
3870101;0(0-0);2.0;           # OCHS101 OCCUPATIONAL HEALTH AND SAFETY-I
3550140;4(3-2);4.0;           # CNG140 C PROGRAMMING
3570219;4(4-0);7.0;3570120           # MAT219 INTRODUCTION TO DIFFERENTIAL EQUATIONS
3620201;0(2-0);2.0;           # HST201 PRINCIPLES OF KEMAL ATATÜRK I
3590211;3(3-0);4.0;3590101,3590102,6390101,6390102,3590101,6390102           # ENGL211 ACADEMIC ORAL PRESENTATION SKILLS
3610101;0(2-0);2.0;           # TUR101 TURKISH I
3550213;4(3-2);6.0;3550140,3890140           # CNG213 DATA STRUCTURE
3550223;3(3-0);6.0;           # CNG223 DISCRETE COMPUTATIONAL STRUCTURES
3890201;3(3-0);5.0;           # SNG201 INTRODUCTION TO SOFTWARE ENGINEERING
3630221;3(3-0);5.0;3570120           # STAS221 STATISTICS FOR ENGINEERS I
3610102;0(2-0);2.0;3610101           # TUR102 TURKISH II
3620202;0(2-0);2.0;2402201,3620201           # HST202 PRINCIPLES OF KEMAL ATATÜRK II
3550232;4(3-2);7.0;           # CNG232 LOGIC DESIGN
3550280;3(3-0);6.0;3550223           # CNG280 FORMAL LANGUAGES AND ABSTRACT MACHINES
3890221;3(3-0);5.0;3890201           # SNG221 SOFTWARE REQUIREMENTS ENGINEERING
3550242;4(3-2);7.0;3550111,3550213           # CNG242 PROGRAMMING LANGUAGE CONCEPTS
3590311;3(3-0);4.0;3590101,3590102,3590211,6390102,6390211           # ENGL311 ADVANCED COMMUNICATION SKILLS
3870301;0(0-0);2.0;           # OCHS301 OCCUPATIONAL HEALTH AND SAFETY - II
3550315;3(3-0);6.0;3550213           # CNG315 ALGORITHMS
3550331;3(3-0);6.0;3550232,3560248           # CNG331 COMPUTER ORGANIZATION
3550351;3(3-0);6.0;           # CNG351 DATA MANAGEMENT AND FILE STRUCTURES
3890300;0(0-0);2.0;3550100,3870101           # SNG300 SUMMER PRACTICE I
3890303;3(3-0);5.0;           # SNG303 SOFTWARE PROJECT MANAGEMENT
3890330;3(3-0);5.0;3890201,3890242,3550242,3890201           # SNG330 SOFTWARE DESIGN
3550334;3(3-0);5.5;3550331,3560445           # CNG334 INTRODUCTION TO OPERATING SYSTEMS
3890341;4(3-2);6.0;3890330           # SNG341 SOFTWARE CONSTRUCTION AND EVOLUTION
3890346;3(3-0);5.0;3890242           # SNG346 WEB APPLICATION DEVELOPMENT
3890352;3(3-0);5.0;           # SNG352 SOFTWARE QUALITY ASSURANCE AND TESTING
3890404;3(3-0);5.0;           # SNG404 SOFTWARE PROCESS MANAGEMENT
3520101;4(4-0);7.0;           # ECO101 MICROECONOMICS
3520102;4(4-0);7.0;           # ECO102 MACROECONOMICS
3550435;3(3-0);6.0;           # CNG435 DATA COMMUNICATIONS AND COMPUTER NETWORKING
3890400;0(0-0);2.0;3870301           # SNG400 SUMMER PRACTICE II
3890460;3(3-0);5.0;3550334           # SNG460 SOFTWARE SECURITY
3890491;3(2-2);7.0;3890303,3890341           # SNG491 SOFTWARE ENGINEERING SENIOR PROJECT I
3890471;3(3-0);5.0;           # SNG471 SOFTWARE VERIFICATION AND VALIDATION
3890405;3(3-0);5.0;           # SNG405 AGILE SOFTWARE ENGINEERING
3890492;3(1-4);7.0;3890491           # SNG492 SOFTWARE ENGINEERING SENIOR PROJECT II
3550332;3(3-0);6.0;3550331           # CNG332 SYSTEMS PROGRAMMING AND SUPPORT ENVIROMENTS
3550456;3(3-0);6.0;3550351,3550435           # CNG456 SCALABLE WEB APPLICATION DEVELOPMENT
3530142;3(3-0);6.0;           # BUS142 FINANCIAL ACCOUNTING
